date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets
2017-01-05,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Klizan M.,101.0,35.0,592.0,1230.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,79,3.0
2017-01-05,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Youzhny M.,Olivo R.,57.0,83.0,826.0,670.0,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,17,2.0
2017-01-05,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Groth S.,8.0,180.0,3415.0,320.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,173,2.0
2017-01-05,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Tsonga J.W.,10.0,12.0,3060.0,2550.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,59,2.0
2017-01-05,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Murray A.,Almagro N.,1.0,44.0,12410.0,1013.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,60,2.0
2017-01-05,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Stepanek R.,2.0,107.0,11780.0,558.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,216,2.0
2017-01-05,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3,Verdasco F.,Karlovic I.,42.0,20.0,1035.0,1795.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,96,2.0
2017-01-05,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Schwartzman D.,3.0,52.0,5450.0,864.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,110,2.0
2017-01-06,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Semifinals,3,Murray A.,Berdych T.,1.0,10.0,12410.0,3060.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,60,2.0
2017-01-06,2017,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Edmund K.,4.0,45.0,5315.0,1001.0,6.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,94,3.0
2017-01-06,2017,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Thiem D.,17.0,8.0,2035.0,3415.0,6.0,3.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,135,3.0
2017-01-06,2017,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Nadal R.,3.0,9.0,5450.0,3300.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,110,3.0
2017-01-06,2017,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Kovalik J.,99.0,117.0,611.0,501.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,195,2.0
2017-01-06,2017,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Youzhny M.,14.0,57.0,2350.0,826.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,161,3.0
2017-01-06,2017,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3,Paire B.,Bedene A.,47.0,101.0,960.0,592.0,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,111,2.0
2017-01-06,2017,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Thompson J.,5.0,79.0,4905.0,689.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,127,2.0
2017-01-06,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Semifinals,3,Djokovic N.,Verdasco F.,2.0,42.0,11780.0,1035.0,4.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,216,3.0
2017-01-06,2017,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3,Sela D.,Ramos-Vinolas A.,96.0,27.0,616.0,1435.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,18,2.0
2017-01-07,2017,Brisbane International,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Wawrinka S.,5.0,4.0,4905.0,5315.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,127,2.0
2017-01-07,2017,Chennai Open,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Sela D.,99.0,96.0,611.0,616.0,4.0,6.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,195,3.0
2017-01-07,2017,Chennai Open,ATP250,Outdoor,Hard,Semifinals,3,Bautista Agut R.,Paire B.,14.0,47.0,2350.0,960.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,161,2.0
2017-01-07,2017,Brisbane International,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Raonic M.,17.0,3.0,2035.0,5450.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,135,2.0
2017-01-07,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,The Final,3,Djokovic N.,Murray A.,2.0,1.0,11780.0,12410.0,6.0,3.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,216,3.0
2017-01-08,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Bellucci T.,38.0,62.0,1122.0,771.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,23,2.0
2017-01-08,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Robert S.,33.0,53.0,1320.0,854.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,86,2.0
2017-01-08,2017,Chennai Open,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Medvedev D.,14.0,99.0,2350.0,611.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,161,2.0
2017-01-08,2017,Brisbane International,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Nishikori K.,17.0,5.0,2035.0,4905.0,6.0,2.0,2.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,135,3.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,Ramos-Vinolas A.,44.0,26.0,1030.0,1435.0,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,73,2.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Jaziri M.,Schwartzman D.,56.0,52.0,814.0,867.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,41,2.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Garcia-Lopez G.,89.0,74.0,632.0,700.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,43,2.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Klein B.,Bagnis F.,324.0,55.0,148.0,817.0,6.0,1.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1,3.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Zeballos H.,54.0,69.0,848.0,725.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,63,2.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Tearney F.,58.0,447.0,795.0,90.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,61,2.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Venus M.,28.0,1035.0,1410.0,10.0,3.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,74,3.0
2017-01-09,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Monteiro T.,67.0,83.0,736.0,660.0,6.0,3.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,68,3.0
2017-01-09,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Elias G.,O'Connell C.,81.0,238.0,675.0,217.0,6.0,7.0,6.0,4.0,6.0,1.0,,,,,2.0,1.0,Completed,7,3.0
2017-01-09,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Lorenzi P.,Mayer F.,41.0,49.0,1090.0,903.0,7.0,6.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,37,3.0
2017-01-09,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Fognini F.,32.0,47.0,1325.0,945.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,82,2.0
2017-01-09,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Barton M.,Edmund K.,198.0,45.0,282.0,989.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1,2.0
2017-01-09,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Mmoh M.,70.0,195.0,718.0,285.0,7.0,6.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,12,3.0
2017-01-10,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Paire B.,333.0,46.0,144.0,960.0,6.0,3.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,94,3.0
2017-01-10,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Basilashvili N.,75.0,94.0,699.0,624.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,68,2.0
2017-01-10,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Mannarino A.,36.0,60.0,1140.0,781.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,34,2.0
2017-01-10,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Sitak A.,71.0,,705.0,,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,86,2.0
2017-01-10,2017,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Haase R.,Ferrer D.,58.0,21.0,795.0,1785.0,2.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,61,3.0
2017-01-10,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Muller G.,Dolgopolov O.,34.0,63.0,1255.0,760.0,3.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,41,3.0
2017-01-10,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Giraldo S.,37.0,90.0,1136.0,632.0,6.0,7.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,16,3.0
2017-01-10,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Almagro N.,50.0,43.0,884.0,1040.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,53,2.0
2017-01-10,2017,Apia International,ATP250,Outdoor,Hard,1st Round,3,Kuznetsov An.,Klizan M.,48.0,35.0,935.0,1230.0,2.0,6.0,6.0,1.0,3.0,0.0,,,,,1.0,1.0,Retired,15,2.0
2017-01-10,2017,ASB Classic,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Khachanov K.,61.0,51.0,774.0,875.0,4.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,9,3.0
2017-01-11,2017,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Sock J.,Harrison R.,23.0,89.0,1710.0,632.0,7.0,6.0,4.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,55,3.0
2017-01-11,2017,ASB Classic,ATP250,Outdoor,Hard,Quarterfinals,3,Sousa J.,Haase R.,44.0,58.0,1030.0,795.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,73,2.0
2017-01-11,2017,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Lopez F.,71.0,28.0,705.0,1410.0,,,,,,,,,,,,,Walkover,86,0.0
2017-01-11,2017,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Vesely J.,Statham J.,54.0,434.0,848.0,94.0,6.0,7.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,63,3.0
2017-01-11,2017,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Jaziri M.,19.0,56.0,1850.0,814.0,6.0,3.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,130,3.0
2017-01-11,2017,ASB Classic,ATP250,Outdoor,Hard,2nd Round,3,Johnson S.,Lu Y.H.,33.0,61.0,1320.0,774.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,86,2.0
