date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%)
2021-06-28,2021,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Draper J.,1.0,253.0,12113.0,255.0,4.0,6.0,6.0,1.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,216,4.0,216,1,100.0
2021-06-28,2021,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Rublev A.,Delbonis F.,7.0,47.0,6120.0,1360.0,4.0,6.0,6.0,4.0,6.0,1.0,6.0,2.0,,,3.0,1.0,Completed,154,4.0,147,11,93.0
2021-06-29,2021,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Medvedev D.,Struff J.L.,2.0,45.0,10280.0,1455.0,6.0,4.0,6.0,1.0,4.0,6.0,7.0,6.0,,,3.0,1.0,Completed,195,4.0,195,23,89.0
2021-06-29,2021,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Zverev A.,Griekspoor T.,6.0,124.0,7305.0,673.0,6.0,3.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,226,3.0,226,3,99.0
2021-06-29,2021,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Mannarino A.,8.0,41.0,4815.0,1571.0,6.0,4.0,6.0,7.0,3.0,6.0,6.0,2.0,,,2.0,2.0,Retired,163,4.0,163,21,89.0
2021-06-30,2021,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Rublev A.,Harris L.,7.0,51.0,6120.0,1268.0,6.0,1.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,154,3.0,147,11,93.0
2021-06-30,2021,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Anderson K.,1.0,102.0,12113.0,753.0,6.0,3.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,216,3.0,216,21,91.0
2021-06-30,2021,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Berrettini M.,Pella G.,9.0,59.0,4468.0,1114.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,0.0,,,3.0,1.0,Completed,107,4.0,104,12,90.0
2021-07-01,2021,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Zverev A.,Sandgren T.,6.0,68.0,7305.0,1019.0,7.0,5.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,226,3.0,226,11,95.0
2021-07-01,2021,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Federer R.,Gasquet R.,8.0,56.0,4815.0,1148.0,7.0,6.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,17,91.0
2021-07-01,2021,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Berrettini M.,Van De Zandschulp B.,9.0,139.0,4468.0,540.0,6.0,3.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,107,3.0,104,2,98.0
2021-07-01,2021,Wimbledon,Grand Slam,Outdoor,Grass,2nd Round,5,Medvedev D.,Alcaraz C.,2.0,75.0,10280.0,924.0,6.0,4.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,195,3.0,195,4,98.0
2021-07-02,2021,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Djokovic N.,Kudla D.,1.0,114.0,12113.0,698.0,6.0,4.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,216,3.0,216,9,96.0
2021-07-02,2021,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Rublev A.,Fognini F.,7.0,31.0,6120.0,1868.0,6.0,3.0,5.0,7.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,154,4.0,147,23,86.0
2021-07-03,2021,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Federer R.,Norrie C.,8.0,34.0,4815.0,1770.0,6.0,4.0,6.0,4.0,5.0,7.0,6.0,4.0,,,3.0,1.0,Completed,163,4.0,163,14,92.0
2021-07-03,2021,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Berrettini M.,Bedene A.,9.0,64.0,4468.0,1089.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,107,3.0,104,16,87.0
2021-07-03,2021,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,5,Zverev A.,Fritz T.,6.0,40.0,7305.0,1590.0,6.0,7.0,6.0,4.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,226,4.0,226,14,94.0
2021-07-03,2021,Wimbledon,Grand Slam,Outdoor,Grass,3rd Round,3,Medvedev D.,Cilic M.,2.0,37.0,10280.0,1660.0,6.0,7.0,3.0,6.0,6.0,3.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,195,5.0,195,27,88.0
