date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%),s4win,s4loss,s4win(%)
2017-09-05,2017,US Open,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Kohlschreiber P.,3.0,37.0,7145.0,1135.0,6.0,4.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,163,3.0,163,15,92.0,20,0,100.0
2017-09-06,2017,US Open,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nadal R.,Rublev A.,1.0,53.0,7645.0,890.0,6.0,1.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,207,3.0,206,20,91.0,19,0,100.0
2017-09-09,2017,US Open,Grand Slam,Outdoor,Hard,Semifinals,5,Nadal R.,Del Potro J.M.,1.0,28.0,7645.0,1460.0,4.0,6.0,6.0,0.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,207,4.0,206,11,95.0,19,2,90.0
2017-09-10,2017,US Open,Grand Slam,Outdoor,Hard,The Final,5,Nadal R.,Anderson K.,1.0,32.0,7645.0,1360.0,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,207,3.0,206,21,91.0,19,1,95.0
2018-01-15,2018,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Ferrer D.,32.0,33.0,1373.0,1360.0,7.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,154,5.0,147,8,95.0,15,1,94.0
2018-01-15,2018,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Estrella Burgos V.,1.0,79.0,10600.0,677.0,6.0,1.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,207,3.0,206,1,100.0,19,0,100.0
2018-01-16,2018,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Fabbiano T.,4.0,73.0,4610.0,701.0,6.0,1.0,7.0,6.0,7.0,5.0,,,,,3.0,0.0,Completed,226,3.0,226,3,99.0,24,0,100.0
2018-01-16,2018,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Pella G.,5.0,56.0,4060.0,864.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,173,3.0,173,12,94.0,24,1,96.0
2018-01-16,2018,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Kokkinakis T.,53.0,216.0,884.0,245.0,6.0,2.0,6.0,7.0,7.0,6.0,6.0,4.0,,,3.0,1.0,Completed,195,4.0,195,4,98.0,14,2,88.0
2018-01-16,2018,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Bedene A.,2.0,51.0,9605.0,968.0,6.0,3.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,163,3.0,163,16,91.0,20,2,91.0
2018-01-16,2018,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Young D.,14.0,63.0,2335.0,816.0,6.0,1.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,216,3.0,216,3,99.0,33,0,100.0
2018-01-17,2018,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Rublev A.,Baghdatis M.,32.0,123.0,1373.0,474.0,6.0,4.0,6.0,7.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,154,4.0,147,3,98.0,15,1,94.0
2018-01-17,2018,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Mayer L.,1.0,52.0,10600.0,929.0,6.0,3.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,207,3.0,206,9,96.0,19,1,95.0
2018-01-18,2018,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Thiem D.,Kudla D.,5.0,190.0,4060.0,272.0,6.0,7.0,3.0,6.0,6.0,3.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,173,5.0,173,9,95.0,24,1,96.0
2018-01-18,2018,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Struff J.L.,2.0,55.0,9605.0,870.0,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,163,3.0,163,23,88.0,20,3,87.0
2018-01-18,2018,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Monfils G.,14.0,39.0,2335.0,1265.0,4.0,6.0,6.0,3.0,6.0,1.0,6.0,3.0,,,3.0,1.0,Completed,216,4.0,216,16,93.0,33,3,92.0
2018-01-18,2018,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Gojowczyk P.,4.0,62.0,4610.0,827.0,6.0,1.0,6.0,3.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,226,4.0,226,8,97.0,24,1,96.0
2018-01-19,2018,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Dzumhur D.,1.0,30.0,10600.0,1391.0,6.0,1.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,207,3.0,206,12,94.0,19,3,86.0
2018-01-20,2018,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Thiem D.,Mannarino A.,5.0,27.0,4060.0,1625.0,6.0,4.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,173,3.0,173,21,89.0,24,3,89.0
2018-01-20,2018,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Ramos-Vinolas A.,14.0,22.0,2335.0,1845.0,6.0,2.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,216,3.0,216,17,93.0,33,0,100.0
2018-01-20,2018,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Gasquet R.,2.0,31.0,9605.0,1375.0,6.0,2.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,17,91.0,20,1,95.0
2018-01-21,2018,Australian Open,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Schwartzman D.,1.0,26.0,10600.0,1675.0,6.0,3.0,6.0,7.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,207,4.0,206,29,88.0,19,5,79.0
